I_Escolaridad,INCLUSION,INDER,CULTURA,EDUCACION SUPERIOR,MEDIO AMBIENTE,PARTICIPACION,SEGURIDAD,SALUD,DESARROLLO ECONOMICO,COMUNICACIONES,INFRAESTRUCTURA,EDUCACION,JUVENTUD,MOVILIDAD,ISVIMED,MUJERES,DAGRD,GESTION Y CONTROL
1,62058.104260997614,19126.75161052825,12108.104794772686,35707.712129578504,11070.264927296152,0.0,0.0,0.0,0.0,3642.687032946808,23007.546475243882,0.0,4586.789618995032,0.0,0.0,6442.113013068289,11043.622308117063,0.0
1,46203.90789102423,18492.726630508616,21396.71076694778,38033.87988421063,12017.849118516891,7053.9549173903515,6897.200363670565,0.0,8360.24286505523,3252.9429517927497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,42483.31066356161,25091.508423897416,13878.180883790466,16894.514404002068,0.0,6249.757036685642,3953.194180898165,8382.927951239146,7906.388361796329,2383.145556609741,17969.064458628025,3593.812891725605,0.0,0.0,0.0,0.0,0.0,0.0
1,11009.007815610266,17461.148943600492,0.0,0.0,0.0,0.0,0.0,558.7567661952156,0.0,0.0,9788.627532739654,19207.263837960538,7786.738425004365,0.0,7116.691210057622,9753.725496769688,0.0,18404.92606949537
2,18115.55047155909,10316.691674034775,15069.770350722076,40722.41522988506,13999.41055113469,6651.865163572061,6631.29973474801,0.0,12157.38284703802,0.0,0.0,2947.244326554672,0.0,0.0,0.0,0.0,0.0,0.0
1,16194.571500701592,11200.025045941045,15058.960992678789,23228.806425287832,6458.16576350197,7821.261044931221,6458.16576350197,8041.003481538452,9158.853264602794,0.0,0.0,2348.4239140007157,0.0,16615.09919155507,8978.072149453697,2436.489810775743,0.0,0.0
2,25221.971208888423,0.0,11919.403804121564,42023.57410491257,4553.4970857618655,5854.496253122397,3837.9475437135716,9396.466486261448,1626.248959200666,1350.3542165383014,0.0,0.0,0.0,0.0,0.0,0.0,8983.39925062448,0.0
1,28217.258928871983,18480.228220621404,14700.933450028611,28596.374591847038,4207.762480223516,4279.657597535935,5385.935974686101,0.0,0.0,2276.942690275019,0.0,0.0,0.0,0.0,12869.088893190155,0.0,0.0,0.0
2,15474.774511075795,17819.804673564042,14324.167953167063,23898.09619563455,9729.834917134242,8108.195764278533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,26630.26879414733,3762.2284434914227,8766.397578203834,21546.417759838547,0.0,17090.072855701314,0.0,18355.196770938444,8694.277245206862,22246.505171543897,0.0,5045.408678102926,0.0,0.0,0.0,0.0,0.0,0.0
3,9456.646322647008,13342.313106463227,11772.738762214984,15965.198011314931,11143.493913937937,0.0,4285.959197668438,7878.707354705984,5143.151037202126,1332.598157037545,0.0,4285.959197668438,0.0,0.0,0.0,0.0,0.0,0.0
3,8268.383825975408,16065.05013751943,23421.19592985966,9050.19187493885,19024.427364736322,16444.647156663446,0.0,15935.947470838271,6522.66081076674,2389.3331449009092,2391.642297281137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,39099.908221508864,61457.09311116513,21680.154824866524,20720.538643354652,5028.958418895473,7447.149670184143,5867.118155378052,32824.011600130754,0.0,4327.779346067774,0.0,7329.02128087571,10635.15951856105,22630.31288502963,0.0,0.0,0.0,0.0
3,5712.3141309305665,9897.050525338691,2560.676018468876,27525.66677602888,3200.845023086095,0.0,0.0,0.0,4801.267534629142,0.0,0.0,4230.597997871438,2756.016452343419,14323.781478310271,562.1223362967824,2184.4096761545047,1600.4225115430474,0.0
2,22793.852637969347,12170.432074866556,11572.891434331399,38751.68953746764,20622.666147396398,3470.710865730453,5727.245653020549,23777.233053080112,0.0,3172.088543217796,0.0,5727.245653020549,11329.521889532884,3779.9821309935614,0.0,0.0,0.0,0.0
3,14255.510716588478,9159.287897147431,8380.613357938502,29929.7418680659,10283.033550481356,4724.637036707651,3335.0379082642244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2517.953620739489,3335.0379082642244,0.0
1,105239.97290640394,0.0,82358.37438423645,363208.12807881774,92364.53201970443,21639.587438423645,0.0,0.0,284790.6403940887,0.0,0.0,0.0,53699.04310344828,0.0,0.0,0.0,24630.54187192118,470443.3497536946
1,29008.836092246747,17106.714546783627,12266.23990756461,48231.46576117714,0.0,7074.136955291455,8253.159781173363,20010.77626862856,16211.56385587625,1382.9456706281833,0.0,0.0,0.0,0.0,0.0,0.0,8253.159781173363,0.0
1,33510.787715745246,51094.27183145422,31293.356225251635,35365.5956231297,43838.921440014514,0.0,0.0,20091.40646253363,30227.004806093766,0.0,30227.004806093766,4534.050720914063,0.0,45340.507209140655,0.0,0.0,0.0,0.0
2,46545.05771750461,19839.713449565326,17243.910808045064,35135.47116037528,12432.933885483115,7367.034391407887,4781.897648262737,0.0,19127.590593050947,0.0,0.0,0.0,0.0,11476.554355830569,22265.411558802996,3541.6646742093126,0.0,11782.595805319384
2,224769.30810464371,0.0,80230.72889355008,99149.33286721435,96079.6908465886,10522.691487502183,23305.94884344229,72318.35926120143,58090.0774922799,0.0,0.0,0.0,17461.98217094913,67616.38408203694,0.0,0.0,0.0,0.0
